"TCGA-E9-A1N6" "TCGA-E9-A1N8" "TCGA-E9-A1N9" "TCGA-E9-A1NA" "TCGA-E9-A1ND" "TCGA-E9-A1NE" "TCGA-E9-A1NF" "TCGA-E9-A1NG" "TCGA-E9-A1NH" "TCGA-E9-A1NI" "TCGA-E9-A1QZ" "TCGA-E9-A1R0" "TCGA-E9-A1R2" "TCGA-E9-A1R3" "TCGA-E9-A1R4" "TCGA-E9-A1R5" "TCGA-E9-A1R6" "TCGA-E9-A1R7" "TCGA-E9-A1RB" "TCGA-E9-A1RC"
"6422" 177 13587 11603 54 10455 28861 167 444 2025 532 23344 9660 2754 1317 868 1040 14 1008 284 362
"6423" 25460 4884 56248 55406 40022 21815 108168 110710 109133 41192 24365 79896 50185 33723 21961 107393 26869 16130 20460 30508
"6424" 8353 829 9336 5123 2064 7423 25217 26052 21059 6084 4914 22296 5622 2319 8445 17209 10882 5028 9700 3256
"6425" 0 6 8 0 0 2 0 2 0 11 0 2 2 0 4 2 0 1 2 11
"113402" 1805 1302 2522 1451 3326 2479 3467 2892 3354 4073 2749 1854 3755 3696 2335 3896 1855 8779 2934 3076
"375035" 291 845 513 409 1209 831 247 388 435 268 422 223 409 547 639 1049 160 2225 659 1211
"84826" 687 2554 1819 1762 1198 1378 676 1191 1901 829 1285 1395 2329 1422 2116 2082 1063 1264 1400 1621
"207107" 42 4 10 50 4 10 60 107 34 37 8 55 5 11 4 75 6 10 33 22
"389376" 0 0 2 0 35 6 10 0 0 26 105 0 31 14 6 2 0 0 0 25
"653509" 8 2 7 17 5 4 10 2 0 4 6 4 28 4 0 1 1 19 4 27
"729238" 172 16 193 18 49 29 192 7 0 73 49 2 262 52 8 22 32 305 175 224
"6439" 65 133 148 97 137 168 230 87 127 138 151 136 191 133 197 148 129 170 159 183
"6441" 22 49 92 132 114 156 84 23 28 51 101 23 196 49 261 51 26 66 42 44
"94081" 3291 1634 4181 3855 5111 6853 2396 3409 3859 4436 3640 2870 5355 3762 4046 11375 5435 8785 4093 9062
"118980" 1026 1385 794 1908 515 553 651 1281 3301 3998 4233 6870 1653 1094 2243 1928 6688 2147 3843 5063
"81855" 3491 995 1887 4965 3676 3735 6911 9749 8995 5623 3085 6210 4621 6872 4108 10873 6250 2804 3135 5812
"119559" 1736 1271 3420 2764 1953 1294 1512 1239 1908 1750 1703 1694 1715 1179 1987 3726 1869 2061 3169 1741
"94097" 1810 878 1602 3216 1423 4732 2167 1973 3736 2122 1784 5474 14973 2609 12225 4998 1515 3419 2847 959
"6442" 1 9 37 10 9 13 12 104 34 23 16 13 53 19 19 17 29 16 3 8
"6443" 2618 2211 3251 5028 3143 5666 4825 8895 4783 3589 3833 5336 5218 5483 3752 4007 2972 5275 4030 3795
"6444" 1691 259 2164 2679 2092 2611 3872 7170 3995 2643 1189 1524 1764 3993 997 4425 1238 2300 1329 2563
"8910" 1013 2030 1202 2043 2183 2573 3425 5325 2296 2099 13240 2230 2243 6708 881 2584 835 1035 5451 3130
"6445" 4 2 42 23 15 8 4 10 46 18 126 191 12 12 581 30 3 12 2 8
"137868" 0 10 4 0 0 0 0 0 0 0 2 0 2 2 2 0 0 0 0 4
"84251" 1187 152 379 998 320 386 1725 3680 1794 721 132 396 352 1879 411 1308 423 341 746 230
"6446" 2546 797 3234 6028 4686 8163 4457 3313 4945 2891 5974 2605 1760 4302 4356 1938 1199 1360 2961 1542
"157285" 1690 703 986 2181 4256 2821 973 3765 5671 1517 1684 14568 3240 2360 4697 503 3918 955 736 3257
"10110" 26 100 21 19 74 30 110 21 68 45 276 276 154 27 167 60 89 33 89 15
"23678" 2097 1279 1963 3326 1292 7885 3521 1662 4028 5485 16914 8930 3727 2991 3355 2089 15184 8362 4557 7135
"124923" 1063 722 3059 1937 1205 1138 770 477 1062 1253 1098 829 1483 844 1992 1347 1202 2433 904 1044
"259230" 3109 587 2697 4899 3169 3712 2533 3917 4598 2285 2142 4066 2032 2586 3567 6352 1400 6311 5721 3737
"166929" 1758 1080 1575 2312 1879 2838 4391 5012 3276 1226 830 851 1535 1804 1352 1964 1790 3230 1259 4330
"151648" 421 479 1253 388 676 584 103 232 141 378 342 304 317 12 467 217 258 861 1572 441
"151246" 1198 626 1569 1478 1404 2074 978 668 1312 1113 1107 1068 974 560 1713 1170 593 4026 2136 1089
"8879" 10510 7682 14874 11226 10701 13753 5858 9039 18124 13135 14438 11075 13847 9023 18961 31688 7857 24833 16003 17989
"81537" 1584 329 1342 1023 1451 2093 1905 2490 2806 960 1481 902 589 2536 3701 957 1385 456 1613 775
"130367" 20 839 113 125 574 197 20 250 18 86 45 22 183 509 61 130 178 668 416 103
"6448" 1328 1125 2081 4310 5215 2467 2675 4183 3888 4479 2435 2935 5548 2264 2922 4343 2862 4247 1978 2029
"129049" 169 278 755 296 487 655 326 237 568 283 587 369 816 492 1318 578 601 1316 379 504
"9905" 1908 1180 4695 3704 3971 3082 2336 2661 6360 5584 1782 4513 3480 2295 6760 12344 3730 3818 2213 6131
"27352" 5839 2106 8617 1861 3596 2505 2782 2490 5710 3684 3187 3834 3107 2838 3713 5609 3758 8384 2530 3196
"6449" 4537 3923 7461 6541 11839 5537 5864 3390 7047 6427 3461 7439 5424 3489 8184 7174 9358 9609 4500 3996
"54557" 685 478 1436 994 1176 1736 1052 1802 1153 683 1086 836 963 1369 1401 1191 975 1645 980 851
"25970" 2328 9577 3504 2006 2392 2514 4365 2520 4080 5232 2273 3847 5424 3963 9527 5170 8946 4510 3525 3987
"10603" 163 445 1184 428 1330 378 323 249 643 371 172 235 560 117 285 225 275 286 266 119
"10019" 2247 1023 3453 3041 4383 5933 4697 6773 4954 3075 4593 3170 3366 4833 5875 2959 1869 4791 2896 2081
"4068" 70 40 331 97 599 2465 89 90 128 42 1214 391 289 119 400 86 28 127 80 7
"117157" 8 7 28 12 106 252 28 18 14 6 54 38 27 2 58 16 8 20 20 6
"9047" 78 271 198 1000 941 703 180 155 117 101 465 195 241 134 678 85 74 41 178 10
"10045" 343 1275 263 2387 2203 917 660 494 1553 803 638 1080 1770 838 1712 1484 1540 1098 978 421
"10044" 636 225 1255 696 1275 1897 2061 1517 2070 960 1451 2034 1806 683 1467 867 712 741 426 410
"63898" 1387 818 498 1282 733 1515 2086 2413 2605 909 470 1746 827 5294 2400 2725 2174 1981 1741 11247
"387694" 2 26 45 18 2 12 32 24 2 2 12 4 9 10 25 5 15 6 11 6
"400745" 2 18 8 8 17 6 8 23 14 4 7 7 9 30 19 10 7 2 5 40
"284948" 4 19 6 24 16 19 40 14 30 29 16 24 32 21 49 40 39 59 18 27
"646892" 1 9 5 2 0 7 0 2 1 0 2 3 3 1 3 1 0 2 4 2
"83699" 672 1531 2892 489 970 2166 878 2270 3314 2195 2676 1718 1252 1433 930 1598 568 1185 362 4068
"83442" 9505 6790 11864 11735 23153 14706 17301 19257 17390 14782 10941 11781 13456 13269 14342 10585 8719 7241 15294 6777
"6451" 43739 5790 74380 7125 13226 37493 28249 25629 117670 105322 41591 29884 34273 87227 21758 47009 5454 18380 23135 128874
"6450" 196 492 1045 243 226 979 1530 533 710 990 1414 409 400 518 1508 1267 1325 782 1926 810
"23616" 1244 1313 1992 1783 4116 2741 1323 1348 1283 1118 1883 1762 2868 1400 2945 1944 1138 2550 1787 885
"6452" 2958 2340 4467 3887 8672 5077 2865 2949 4627 3955 3234 3826 5706 2858 7059 6685 7229 3744 3469 4100
"23677" 8133 5356 17605 3327 3115 7039 4198 12852 19016 7771 2450 12528 16458 14335 14068 12136 9761 18811 4978 11412
"80851" 12671 3509 4758 3822 4173 4511 2222 2303 5564 6065 3076 3912 7098 3310 4224 8026 3182 14403 4774 5683
"9467" 1701 6038 5599 5792 6485 7070 3790 6370 3982 5638 7391 7811 12773 5131 8227 5362 2813 9745 4084 6151
"152503" 3331 1847 11240 7438 2742 8870 7510 9341 7447 4160 9304 10986 5550 7164 4201 13860 5567 8854 5120 6961
"6455" 6561 8112 6747 7667 19543 5297 10270 5582 9349 6698 2724 5314 8847 4194 9764 6349 5467 7544 3867 3714
"6456" 19 20 10 12 2 9 0 1 36 6 12 12 46 4 10 22 343 2 19 403
"6457" 34 289 46 47 47 52 61 39 56 44 48 44 77 47 77 69 119 83 73 208
"51100" 7954 7412 11810 10785 11278 16440 13415 17201 12635 8301 14503 11880 8074 12936 10151 11721 7202 11440 10160 8079
"56904" 5306 2830 2668 4789 3694 5132 4898 3546 5990 4651 4437 7215 7548 5241 19159 10256 7392 6440 6396 4299
"30011" 2169 2185 2955 3914 9181 7145 4465 5998 4628 2217 5628 3726 3035 3648 3719 3586 1178 6349 1920 1859
"9644" 6294 8511 17570 9814 3318 10983 11300 20297 22609 7977 4590 8387 8210 15614 11620 22514 7059 14743 8652 16513
"285590" 16413 5973 19185 12476 9769 9361 6816 10925 12482 6716 4978 6622 10445 14344 6036 18487 5635 7553 6010 9173
"57630" 3915 5538 5308 2817 2343 3349 2123 6881 6216 2451 2807 6114 6902 4345 2511 10005 5487 11326 2936 5944
"153769" 181 121 579 76 1887 446 152 774 861 343 283 1807 150 556 160 377 320 139 202 480
"344558" 552 448 517 1222 722 459 938 2543 1225 880 625 746 455 1172 424 1663 581 304 301 374
"54436" 304 204 601 1771 1884 1319 1401 1536 1564 829 737 893 2147 780 2379 762 1371 505 605 403
"79628" 131 855 218 156 1463 483 275 400 421 364 258 283 273 394 380 392 218 434 321 372
"26751" 2100 4287 4052 5068 1426 3896 1653 3165 6088 2164 2296 6130 2347 5576 4646 9595 3110 3598 5953 6088
"50944" 66 411 54 102 14 67 136 103 134 112 19 67 148 76 33 266 45 29 24 101
"22941" 1264 8347 27898 2002 1675 3011 941 2158 2124 2745 4370 3484 2907 2825 5863 3076 2390 6860 1997 5466
"85358" 879 2217 2202 798 1171 1854 1583 1881 2946 1181 1331 2608 2328 951 2126 1366 1075 1911 1032 906
"81858" 4068 2101 4863 2742 4053 4346 4958 3072 2926 7085 2732 3652 11441 3239 8906 8894 7975 5198 4787 5521
"6462" 9 19 10 24 35 5 22 5 18 37 15 14 15 12 19 11 26 12 8 9
"6461" 1667 2862 2046 1573 4208 2306 1694 1795 4056 1703 1104 2776 2471 2305 3448 3389 2495 1310 2728 4822
"6464" 10905 5332 14243 24447 12570 13765 15605 14486 22107 14491 13790 15571 16096 17881 16732 32582 9113 18229 18711 21886
"25759" 78 300 423 413 367 423 1794 851 3051 1651 341 1756 1198 758 2312 2647 1654 1736 124 1648
"53358" 35 110 72 80 1033 24 80 60 147 55 40 48 76 56 83 55 19 20 89 33
"399694" 58 2014 149 223 272 445 137 121 715 129 188 1343 156 467 203 155 109 183 256 277
"79801" 1413 287 1699 1491 2164 1868 824 464 382 688 821 596 778 101 3621 640 951 1259 2566 1088
"56961" 0 1 3 2 16 9 2 0 4 0 11 6 0 1 0 0 1 4 4 0
"126669" 246 176 1139 349 419 1599 639 865 1043 446 1462 1376 979 586 635 710 302 1177 1292 599
"7979" 3694 5445 5963 8286 12388 6021 9524 5765 6931 10065 9311 5686 8326 3920 3936 8358 3825 6701 12355 8478
"90525" 190 196 396 274 211 299 529 597 568 409 215 368 761 284 214 292 224 545 194 381
"387914" 595 1758 530 3400 302 5097 1356 2463 818 3537 400 376 5718 3600 2420 945 7615 2407 146 1188
"152573" 2 4 12 0 7 34 10 2 11 0 90 101 9 2 8 2 3 14 6 12
"149345" 765 540 1562 1001 917 910 1582 1587 1774 3091 1642 1047 2324 1447 2107 2749 1337 3708 715 1171
"51246" 8292 3057 10632 12528 21140 15606 14845 16618 27533 24927 14066 21664 12920 11803 21159 18793 16156 7767 19050 12067
"388336" 26 2 163 41 1 36 97 244 73 56 23 27 29 110 88 129 22 87 11 34
"729956" 2 19 6 15 0 8 8 0 10 4 2 6 20 1 10 6 11 0 0 0
"729993" 1470 1336 5319 2303 2143 3309 2264 2566 3326 2614 2393 3230 4369 3488 9130 4149 5679 5440 3875 13473
"92799" 2691 2092 3975 3531 8078 2925 2933 4779 6153 5340 2027 3910 3884 1960 6921 3838 3913 4171 3324 2155
"6470" 1562 982 1893 1226 4299 1724 1312 2422 1985 4214 3149 2712 4159 1474 2872 4151 2093 3035 3444 3085
"6472" 8491 9780 5817 6550 4762 6391 8831 5983 4637 8969 4898 5363 7068 5213 9450 6439 7501 5389 21040 7775
"8036" 4080 3397 7775 6053 3829 8887 4896 7854 11362 6266 8722 7590 4855 8348 16272 24971 6553 5040 9378 11261
"6474" 502 289 298 484 379 372 767 596 524 485 290 421 279 704 213 783 179 433 295 287
"6473" 129 216 283 151 369 291 187 240 303 229 271 295 382 234 393 466 288 363 424 407
"23729" 910 772 1237 1273 1260 1499 1467 1918 1919 3389 1418 2096 2194 993 1933 2854 2066 1938 1631 2610
"257218" 1197 1401 3100 1353 934 2824 1419 1608 2047 1485 1251 1006 2285 1853 2017 3044 1230 9105 1489 3632
"55164" 1577 767 2296 1378 1809 2351 1434 3111 4673 2926 2440 4002 1567 2997 1623 4528 2222 2568 4190 4147
"134549" 1127 309 546 927 932 708 1130 2128 1329 788 481 567 1288 1047 2586 915 1139 5612 3743 2256
"357" 1116 731 3514 2131 2519 1584 1351 1888 1616 2283 248 233 3317 2682 2654 2350 4445 1831 2561 4637
"57619" 12672 4010 18457 13524 5055 12661 7276 7619 8566 9662 12481 16945 14817 11558 6197 13545 14309 28066 22692 21267
"57477" 569 518 2419 624 545 1843 1380 1893 2082 812 1938 1155 1230 4657 1058 1304 540 1459 718 819
"54414" 3348 812 2418 2051 2972 2901 2927 2473 4456 3111 2834 7416 2833 6261 4108 11442 2339 2667 6158 6575
"6477" 2205 1683 3571 2360 1466 3178 2429 1867 2800 1671 2221 2491 3377 2952 4946 2209 3648 2001 2139 2402
"6478" 4789 2999 3298 4142 3301 14329 8880 4230 26219 25726 39864 38673 4733 14118 9561 13655 9559 7468 18389 14361
"283514" 3 3 14 1 13 41 6 5 12 7 17 13 15 17 29 4 9 10 7 12
"54847" 3483 58 4118 5588 2053 10067 3866 2267 5777 1928 3281 5645 1221 3481 18419 7400 3672 4140 2139 3622
"51092" 2789 833 3591 3007 3929 4498 3800 4043 5294 2346 5000 10938 5717 7260 10969 6912 5969 4400 2180 3321
"59307" 2109 1150 1193 3008 1791 3472 1662 1284 2845 5431 2677 4586 2551 2408 7973 4347 4037 5440 2106 3315
"89790" 509 342 585 1423 2775 1821 933 1445 1214 588 1094 744 958 1306 2277 718 738 575 828 546
"114132" 41 55 57 57 232 100 104 96 155 51 81 70 99 54 97 99 70 80 73 96
"89858" 2 0 26 6 20 5 97 298 27 12 5 18 61 11 14 1 37 0 6 5
"100049587" 154 50 195 610 659 398 213 497 40 297 525 106 195 499 653 247 146 53 258 88
"284266" 13 0 918 23 11 29 111 89 128 98 20 612 8 26 141 10 3 19 15 67
"400709" 25 56 48 22 328 91 85 28 71 28 39 43 44 27 58 96 21 22 67 52
"6614" 1905 440 660 5426 7614 2498 2887 2433 490 1995 1882 993 1286 637 8382 1256 1622 322 1685 538
"8778" 78 31 60 279 434 284 122 431 280 105 161 115 36 269 241 87 82 17 128 90
"946" 40 16 15 22 15 127 30 67 40 35 67 59 15 31 24 17 36 3 6 7
"27036" 121 44 101 433 547 267 228 405 182 171 131 130 98 310 504 139 88 39 232 79
"27181" 161 106 368 2059 217 835 351 283 721 321 344 345 376 143 973 309 449 172 202 199
"27180" 232 63 81 621 1007 235 272 551 275 206 161 175 114 409 773 166 130 44 281 111
"10280" 2371 6775 2898 3691 10055 5240 4145 3903 5404 5422 3282 4978 4502 3515 5028 7654 4074 3919 6854 4811
"150094" 1105 4592 4201 12687 2528 12333 3619 4099 8715 4117 13291 4401 19029 5288 3676 4045 3215 770 1689 3571
"23235" 1661 2078 3399 1727 2635 2299 1269 1995 3422 985 3670 8708 2233 3555 3536 4150 1062 1176 3313 4487
"23387" 2452 1940 2377 4660 3907 5112 2805 3800 5939 2410 4405 11866 4221 5687 5576 2068 2509 10345 4462 1910
"80143" 2197 6754 3758 3456 3807 5462 2966 3713 3364 1859 3178 2659 4932 3272 4317 3226 2153 6448 5204 2468
"64374" 3441 808 3363 12057 4304 4461 6852 4008 5995 6575 4815 5458 4160 8082 11005 10135 5405 8537 2216 5694
"6492" 48 265 14 8 163 51 177 38 32 33 9 21 2 33 20 54 4 83 122 106
"6493" 754 1258 3680 936 826 144 1324 231 130 192 190 93 428 132 155 1316 3420 212 263 2549
"25942" 4657 10803 9948 7338 4336 13353 6687 9228 10019 10710 10314 17867 12385 10210 12368 16716 10104 22964 13750 10981
"23309" 3051 7189 7399 12996 5264 4987 4288 2645 5017 3375 2794 5267 9907 3935 6157 6416 5287 9388 3263 3815
"26037" 2417 2887 6407 6159 9807 4040 4958 6254 5820 4414 2577 4009 4221 5527 6478 9391 3092 2717 5303 6291
"57568" 1460 2615 2330 12391 3313 5888 2321 5451 3666 3267 2671 2985 6932 10681 7864 10232 1565 4878 5137 9869
"23094" 2979 6528 20766 5010 3686 6204 2414 5721 8623 6286 2211 6535 11588 3856 8500 9296 8960 5284 4684 6682
"6494" 1494 795 2788 3530 4094 4463 2507 3171 2965 2759 2908 2523 3020 1858 5988 3498 3174 2947 4005 1325
"140885" 3306 1567 3120 7048 15946 5096 4890 8099 5655 2942 5094 4746 3086 6863 8346 4185 2010 1700 2696 3040
"10326" 138 33 133 497 868 518 403 230 537 57 182 262 340 115 955 91 103 49 116 106
"284759" 304 124 292 709 889 606 239 604 479 272 380 246 315 594 1188 354 319 170 358 211
"128646" 11 4 7 16 17 25 27 5 16 4 20 13 13 11 22 8 3 9 11 10
"55423" 67 23 218 126 726 901 118 67 104 51 562 209 225 55 654 69 34 28 51 0
"23411" 2532 2572 4659 2677 1383 5185 1846 3087 3372 2264 3795 5075 3166 3748 2961 4796 2659 2674 4017 4629
"22933" 2407 2558 3919 3499 3409 3923 3315 4123 4308 4699 3403 3779 4208 3439 4395 4129 3718 1793 4163 3543
"23410" 1363 1866 1369 1397 1857 2212 1552 2618 2931 5597 3768 3121 2267 2685 4419 5176 3793 2125 3550 4017
"23409" 132 65 88 44 154 108 60 111 72 133 71 108 176 116 104 59 50 191 74 99
"23408" 800 3479 3629 4243 2430 2169 1093 1374 1431 2176 2038 2068 3001 1873 2979 2611 1864 3075 1462 1805
"51548" 752 499 698 862 2068 658 1311 674 1405 1172 387 912 1185 690 1420 1290 1008 1429 430 504
"51547" 891 1134 1401 1317 2076 1534 1165 994 1225 2212 946 1186 2004 955 1684 2284 1412 2445 1591 888
"27240" 24 19 205 68 654 771 88 73 125 43 623 312 211 95 422 48 41 49 34 12
"10572" 2593 1772 2437 3641 1008 1477 4900 2357 3577 5218 1107 3087 2832 1540 3179 3058 2000 5158 2748 3521
"6495" 112 666 7947 1522 758 1110 697 2100 664 621 209 523 109 57 5429 3007 1821 19125 4308 923
"10736" 78 451 240 10 1274 44 292 157 894 50 303 138 20 728 411 50 235 1553 917 124
"6496" 2 2528 8 648 15 15 39 2 6 6 0 8 6 0 2 4 3 137 50 42
"51804" 496 2058 2948 1920 1534 3673 831 1477 1623 2017 1379 2828 2243 849 6144 8605 1619 14395 3121 2353
"147912" 2259 2882 2984 1406 1939 1270 1783 2074 3812 2750 773 3221 3919 1055 3087 2763 2497 390 2274 1456
"220134" 1227 950 1203 765 1526 1424 547 464 532 1067 955 758 1273 281 1439 856 511 1703 2124 725
"348235" 1309 2165 2226 8320 2895 5324 2717 3450 3001 4788 4424 3618 3731 1839 3706 7759 3032 3900 6062 5268
"221150" 741 418 1459 305 1434 708 600 359 471 1095 644 544 546 27 771 470 500 1715 1634 661
"8631" 202 263 1135 4704 654 2055 614 863 2490 1700 4569 1660 3356 2149 1175 6798 757 2613 740 1548
"8935" 1361 1014 1767 7891 4467 4646 3908 4333 2682 1640 3524 3575 1517 2464 3353 6655 2743 8276 1609 1675
"6498" 1700 4365 3829 7580 1720 8528 5404 6173 7982 1870 2333 2042 3388 5473 4887 6716 2325 34700 3789 5417
"391037" 2 6 15 1 0 13 4 2 13 1 1 30 10 0 4 2 16 0 2 0
"23517" 5168 3481 7906 10598 4122 11343 4803 7586 8408 6316 6665 7410 8001 11310 8607 17032 6601 16776 7334 7016
"6499" 2470 4860 4117 2904 9344 3574 2808 3746 5635 4088 2602 3723 6379 2674 6844 6565 6533 6995 2553 4235
"6497" 5762 14189 11284 9212 9168 10109 8974 10137 10479 6061 6468 7959 18662 6217 9559 6322 5520 10629 11031 5313
"6500" 23380 11879 31360 28526 17478 40627 24152 31107 31268 41079 42520 33401 23188 42883 42128 59692 56829 42120 33002 68460
"6502" 1559 4342 2123 620 1060 1377 597 692 592 900 535 359 913 483 1492 975 444 2064 6284 1030
"84174" 79 70 223 134 1012 1648 173 98 260 108 727 247 282 125 615 162 93 143 124 80
"122060" 404 539 128 30 1283 591 27 31 57 10 276 115 85 57 170 26 196 70 45 684
"57606" 3548 2134 13148 3191 3512 7603 4654 9044 6113 4635 5900 8499 5849 6926 9034 6896 6995 6454 4288 9454
"6504" 53 35 178 77 586 1008 112 128 91 57 556 161 125 94 369 80 42 74 55 21
"114836" 97 53 534 191 1300 3876 200 267 262 97 2006 535 506 197 817 175 70 180 106 56
"57823" 254 298 1056 1129 3727 6649 540 326 807 245 1846 1388 1075 1446 3031 444 488 582 540 265
"56833" 1194 379 863 1362 7925 4510 1717 4720 1123 1019 1690 720 912 4211 5435 1006 658 362 1442 492
"89886" 32 46 31 37 43 0 49 96 63 22 32 80 1 57 12 3 6 7 71 99
"6503" 906 311 1188 3011 4829 5540 1475 2983 2005 915 3193 1186 1244 2411 3849 1148 792 376 1574 684
"7884" 3076 2964 5203 5893 4210 4787 3031 4258 3083 5743 8866 3902 4600 2672 4372 5998 6146 5887 8173 10293
"8273" 1471 2474 4121 3246 7624 1709 3218 2702 3149 1943 1277 2460 3034 1513 5453 1973 1912 944 4289 2564
"201780" 8 18 54 0 7 4 7 10 8 26 5 9 11 2 4 2 13 2 8 10
"347051" 33 8 34 6 22 89 13 32 27 24 22 23 52 33 16 20 44 84 47 45
"345274" 10 13 66 12 48 50 34 9 72 9 49 22 16 13 23 53 21 50 8 23
"84068" 495 371 1061 1031 648 1812 828 1030 803 939 1145 1014 1016 873 584 1565 930 3009 1303 1237
"6556" 557 401 130 1733 2560 167 940 1201 850 563 253 279 278 1148 731 492 348 94 965 705
"4891" 1963 8491 13579 5618 13921 6012 3153 6565 5396 8556 7043 7945 7364 6965 9797 10670 8234 12684 9033 12886
"6557" 26 58 946 29 8 124 93 16 31 16 8 9 118 4 39 34 4 18 118 38
"6558" 6002 6461 16756 2958 4387 7199 2351 22592 20638 7116 5456 12679 5768 27626 10086 15107 11143 9627 3734 68507
"6559" 9 14 40 21 49 147 33 16 34 21 94 34 67 34 220 37 27 34 30 23
"6560" 2441 2140 3222 6203 3411 3046 4891 5112 5103 2375 2652 3170 4737 4684 4352 3572 2984 1131 1081 3703
"57468" 27 41 18 12 36 21 12 38 9 86 12 13 26 17 380 76 393 9 51 27
"9990" 1070 2085 2447 2640 2359 4592 1767 4001 3655 1705 2574 3614 2722 3200 3676 3743 1657 6306 2570 2429
"10723" 5658 7535 12401 7660 7057 7927 3826 5097 8057 7379 4300 7944 10993 9796 11922 16997 12497 27669 5975 9440
"84561" 2163 2766 2566 950 1573 1628 2143 3404 2389 2036 715 1249 2708 1253 1710 1849 1615 5515 2980 2123
"56996" 1260 4148 2282 2849 7229 2790 2282 2441 3935 3600 2217 2555 5072 1528 4493 4459 2997 3244 2224 2740
"6561" 50 43 59 42 98 94 48 68 79 65 119 72 102 106 116 102 93 72 109 131
"9058" 8 7 75 3 20 278 29 12 23 116 250 92 140 681 292 11 19 952 691 691
"64849" 220 276 238 180 399 259 419 209 209 139 168 130 292 266 1896 202 93 473 216 142
"26266" 25 21 20 174 58 99 17 30 25 41 9 28 37 80 22 16 20 1019 16 20
"284111" 30 48 75 63 101 80 63 42 87 58 68 72 103 53 102 111 51 82 69 90
"6563" 42 46 696 63 60 392 80 65 205 124 333 163 96 95 156 190 57 416 72 212
"8170" 123 171 307 133 227 239 246 197 392 248 276 350 381 214 531 366 218 318 393 353
"6564" 92 170 206 85 1327 169 148 164 202 115 145 131 210 151 205 211 154 183 210 289
"6565" 116 1899 3535 80 2062 526 182 136 579 168 294 179 224 130 366 160 275 902 1034 744
"51296" 1515 700 1337 6625 5341 2427 3287 3174 2810 2824 3126 2255 1738 2100 8342 1871 1991 553 1390 936
"121260" 1745 2674 2034 2779 2758 3210 2865 4407 2727 2687 2552 2419 1460 3614 2716 3085 1647 2551 3613 3681
"117247" 49 657 39 23 512 42 62 282 97 35 69 37 42 201 78 80 26 12 163 87
"162515" 6 12 23 4 39 44 2 18 41 34 38 100 32 62 27 3 4 8 3 28
"387700" 41 55 175 59 83 252 122 87 128 93 192 80 136 70 102 116 82 141 117 201
"201232" 158 264 209 301 1038 242 195 174 290 509 217 243 263 699 526 325 176 404 199 256
"151473" 829 117 2771 381 1066 1922 170 500 414 392 1125 736 2101 489 2774 482 909 4004 347 428
"6566" 2577 5950 2818 6113 2511 2321 2912 4307 8054 1693 1462 3780 2218 2313 2766 2214 1006 1117 11807 2844
"6567" 1216 1092 6634 2127 936 1663 1845 3654 3891 1969 1864 4705 2039 1911 1679 9613 5235 8451 2626 1465
"9123" 2124 1502 710 5129 10814 3992 8518 7127 3532 10506 2542 1355 3716 4993 11923 6784 5639 16214 2794 3801
"9122" 213 568 837 1182 371 3543 1324 1307 676 1116 2198 614 3752 3401 3795 5997 1733 385 794 3256
"9121" 122 638 256 419 446 242 855 882 1480 1682 793 2618 209 984 2266 2789 139 245 425 139
"9120" 324 105 684 423 171 1094 756 433 5568 5314 1707 3985 2043 1447 788 16782 16961 7078 570 2796
"9194" 64 41 161 45 167 474 135 156 120 31 166 192 89 131 123 60 6 72 258 52
"23539" 17 110 49 16 23 18 46 15 68 56 12 15 51 18 26 20 43 23 6 119
"220963" 89 258 623 360 81 241 37 225 134 217 1062 4104 1163 105 118 146 26 452 394 273
"26503" 1204 2601 7840 3468 2815 2077 2921 3739 5028 2183 1979 2025 1889 5720 3125 5433 1749 7491 1844 4077
"57030" 58 47 106 33 45 161 102 99 218 55 147 104 100 91 122 87 30 25 53 127
"246213" 3 12 2 15 0 271 0 0 2 0 0 4 181 0 8 2 4 0 6 0
"63910" 187 29 107 2712 550 1961 421 254 268 1028 357 121 3011 385 601 166 432 459 1589 181
"6570" 2 8 1 16 7 37 2 0 2 0 10 38 10 14 25 0 5 2 7 3
"6571" 66 14 41 38 10 168 40 213 132 42 157 103 56 78 32 95 74 15 13 4
"6573" 1079 860 2956 1257 1243 1306 695 753 1120 1194 779 993 3615 564 1552 2192 1508 2316 1806 1160
"10560" 2573 1733 6778 4004 2536 9425 2687 2713 3528 4811 21864 9010 2089 8595 4583 9514 7570 22480 6661 12633
"80704" 44 69 49 29 444 298 47 37 127 42 4403 4518 614 32 305 521 40 317 321 159
"6505" 2812 306 224 10252 1310 501 3449 20226 40027 7270 272 388 309 25065 9503 409 228 277 20643 16119
"6506" 231 224 898 239 685 3215 367 263 939 3668 1921 6555 652 1082 4196 2528 2579 23810 1484 14022
"6507" 1270 602 753 3652 3377 3139 2435 4173 1058 887 1660 977 957 1729 3197 1516 571 444 942 624
"6509" 4137 2667 10723 4884 2206 6089 9892 5729 13253 4428 5616 24615 6207 5974 6935 5080 20068 3158 16765 4623
"6510" 14565 12119 9765 14777 10609 8574 9270 13646 10027 12427 9024 9744 31197 7362 13014 21785 24052 12375 23436 3500
"6511" 48 433 173 49 3398 81 55 44 65 70 73 59 127 56 88 409 68 77 449 87
"6512" 25 4 40 41 11 56 72 144 113 48 90 183 55 31 37 138 49 65 30 29
