"TCGA-A1-A0SB" "TCGA-A1-A0SD" "TCGA-A1-A0SE" "TCGA-A1-A0SF" "TCGA-A1-A0SG" "TCGA-A1-A0SH"
"83660" 4043 2998 7691 2952 4295 10454
"81793" 218 337 378 170 504 510
"7096" 1378 951 676 190 433 998
"7097" 1418 1500 1022 787 735 1972
"7098" 288 1244 1081 403 492 1381
"7099" 309 2211 1737 894 795 2759
"7100" 1624 1362 5110 739 1367 1474
"10333" 328 138 383 40 150 205
"51284" 255 788 597 242 473 2152
"51311" 25 144 124 153 89 242
"54106" 295 328 725 228 371 580
"100038246" 64 4 0 4 0 0
"3195" 739 6 0 2 0 1
"3196" 2 0 14 1 2 1
"83941" 1202 1188 2294 1112 2273 1850
"83877" 1846 5297 6723 3383 6983 7805
"80213" 2213 4420 3565 3288 2398 3562
"116441" 697 971 616 257 183 904
"116211" 64 142 102 57 96 103
"4071" 46183 20310 17327 18166 3721 50936
"79853" 2 16 10 2 8 6
"7104" 18 4 8 0 2 14
"53346" 229 874 763 386 350 1159
"53345" 18 58 55 17 39 155
"7108" 957 2711 1726 1548 3191 1411
"51768" 3916 7611 8520 4028 5106 9303
"10548" 3755 9533 14821 6335 7940 15422
"9375" 17436 18898 30814 16487 25042 47147
"56889" 21354 39915 31963 20951 23217 51033
"9777" 7082 16822 17294 9105 10024 15592
"64114" 4869 16136 18102 7075 10321 19666
"51643" 2732 10766 11320 7549 7797 10704
"7009" 39849 112075 172527 89083 102123 174873
"117531" 21 31 36 22 15 23
"117532" 9 15 5 9 13 0
"342125" 2 34 89 237 1 19
"147798" 4287 9773 14039 10448 16712 8698
"79838" 243 2050 5369 5797 1763 7184
"11322" 884 3248 2934 1964 3720 3512
"79905" 196 720 765 223 299 594
"147138" 113 530 662 649 876 867
"23023" 2718 6709 7237 3620 5333 7827
"9911" 490 197 194 46 51 203
"57458" 465 1159 964 789 1253 1281
"54499" 5055 21285 26388 8510 10474 17634
"55002" 3651 4626 13617 4629 4984 17375
"255104" 3257 2182 4779 2326 3702 1651
"55374" 661 710 1411 488 479 607
"286102" 240 426 422 90 200 404
"10972" 36696 39406 66166 26292 34353 67888
"11018" 1151 853 2642 1361 1420 2145
"10959" 21222 39769 37534 17785 35220 62385
"23423" 8414 9981 20928 10678 22540 27969
"222068" 4146 5793 8329 4709 5262 8878
"50999" 3375 5521 8836 2371 4257 8922
"146456" 40 27 26 13 13 38
"51014" 7826 16719 17494 6501 8752 21576
"283578" 1596 2121 5574 1585 1234 2259
"54732" 9381 11987 19625 10443 16033 24555
"8577" 523 325 410 183 150 788
"23671" 0 0 5 0 0 1
"55273" 169 161 179 86 45 87
"84336" 2008 7609 10135 989 2940 3373
"284114" 500 502 1158 551 976 821
"54868" 1614 2054 3220 943 2035 5112
"284186" 44 59 71 54 128 127
"113277" 258 1154 1085 784 713 4911
"54664" 6696 10842 11360 5648 5707 13838
"79022" 2409 8541 12163 7193 7435 5275
"84314" 330 625 1137 486 1098 739
"66000" 791 612 927 191 78 719
"79073" 7543 9369 11615 9447 8936 22759
"375346" 569 948 1494 449 784 1033
"11070" 2676 6344 8244 3171 4935 6108
"89894" 399 1149 1205 515 1431 2381
"84216" 768 655 927 318 262 1300
"338773" 832 3077 7078 5478 3511 15347
"8834" 831 995 2454 1141 1607 1935
"83862" 1132 2763 4453 2603 2090 3447
"144404" 1639 1776 2173 1015 1425 2297
"80757" 175 499 604 247 406 378
"114908" 37777 23938 28128 21048 11414 40365
"128218" 1091 968 4051 2287 2457 2042
"84233" 543 932 920 849 1085 1118
"55863" 1001 1577 1443 1304 1441 2370
"55654" 6861 15023 18820 6488 12509 24356
"85013" 2506 3284 3894 2085 2341 3270
"92305" 2211 4075 6529 3205 4057 5430
"222865" 289 534 584 1777 270 1958
"23505" 6107 12631 12724 4853 6716 13596
"54972" 4677 4635 6864 10957 5916 15542
"114795" 112 56 28 8 31 92
"92293" 44 237 279 586 38 52
"124842" 63 56 58 43 22 119
"83935" 652 331 302 113 117 442
"80194" 1316 1790 3974 1918 1838 2796
"65084" 1258 2397 2972 2014 3028 6342
"219902" 456 948 902 501 504 1081
"51524" 948 1430 1753 1543 2167 2784
"135932" 1126 971 735 234 3544 4577
"55281" 738 2641 2539 1029 1405 2764
"85014" 1309 5420 9263 5312 7777 6091
"55260" 297 430 693 559 552 563
"55314" 650 2669 2238 1378 1925 3462
"284339" 8 22 251 110 4 7
"10430" 2092 5607 9042 5609 4270 7108
"28978" 946 3759 4614 1458 1530 2814
"81853" 1719 5231 5312 2806 3432 5461
"51522" 4009 8515 12791 5690 8003 10100
"129303" 522 1424 2425 1552 1962 2360
"284417" 9 28 29 25 32 44
"441027" 2642 15021 779 5621 13830 751
"256472" 2 22 5 2 0 0
"441151" 90 45 86 53 13 57
"201799" 342 999 718 188 491 1126
"132332" 66 6 55 5 4 14
"80008" 46 140 127 76 119 102
"25907" 285 324 243 202 192 2594
"57146" 3098 4222 8500 3609 3381 5998
"54958" 140 245 604 354 385 352
"54929" 976 1454 3085 2246 1469 2723
"153396" 691 1886 1631 658 1029 1354
"81615" 1026 103 207 135 109 183
"84187" 3033 2401 7210 7579 4250 8740
"55858" 2630 7825 7248 3364 5257 8550
"153339" 8741 10434 14427 6292 9063 18798
"56900" 4285 5756 10299 3785 7354 9995
"64418" 4534 3847 5620 2471 1991 4633
"92691" 56 166 90 57 80 393
"124491" 2308 1993 2452 1154 889 2115
"100113407" 716 986 926 602 567 1398
"134285" 8 6 8 28 0 9
"340061" 965 3811 3797 1697 2022 2665
"84286" 1004 1513 1805 1000 2442 2473
"55365" 167 15920 4660 1852 891 4165
"28959" 412 15775 7458 3613 1968 6897
"80775" 761 898 1742 705 1055 1190
"374395" 1650 2757 3812 3814 6310 5656
"388021" 0 2 3 2 2 0
"200728" 361 327 375 246 196 552
"79847" 264 482 554 382 286 446
"57583" 9247 25857 8124 4531 5262 6900
"130827" 472 409 612 238 387 460
"92703" 5557 8536 19896 8479 6364 15094
"202915" 729 2378 2168 2085 2064 2476
"25829" 3679 6528 13143 4209 6622 16437
"55751" 2648 3854 4261 1577 2643 4729
"84548" 1672 2731 4187 2053 2611 6002
"79134" 2962 3064 3447 1880 1555 4512
"25880" 820 952 2036 790 2389 1143
"8269" 445 1043 2039 1241 1025 3342
"387521" 1947 3764 2785 2182 1359 4725
"129787" 2361 2396 3270 1565 1464 2205
"147744" 2 6 34 36 36 4
"84222" 78 55 207 77 95 145
"201931" 2183 3820 3489 1678 2471 4663
"23306" 2391 2812 3298 1099 1981 2106
"100131211" 583 657 734 265 260 793
"130612" 218 174 478 287 268 256
"147007" 1167 2496 2260 1296 2309 1969
"55266" 2277 2734 5369 2328 2806 5903
"114801" 171 1430 1351 662 1196 2329
"399474" 178 350 1029 146 315 748
"645369" 36 58 144 55 36 292
"199953" 1997 828 2084 1014 903 1294
"94107" 2271 4151 5676 3287 3988 6070
"79652" 473 1404 2247 1933 1269 4812
"374882" 2192 3928 10020 6155 9242 6725
"55248" 555 595 1124 620 739 811
"29100" 1002 1623 2268 1546 1888 2362
"84928" 1641 5803 7481 3344 3487 4953
"255349" 55 0 5 0 0 0
"389177" 1215 1816 1830 1291 1359 1252
"155006" 768 88 775 276 89 153
"54867" 7894 10616 19364 6752 8104 20118
"401498" 0 56 255 2 43 426
"51259" 1244 710 1349 1052 693 1391
"221468" 63 49 59 21 89 56
"219854" 795 1053 1598 1060 1733 1330
"124446" 3075 6470 16523 8445 13968 9542
"388335" 757 263 511 372 211 343
"84065" 2012 2523 5136 1994 3945 3077
"79064" 679 978 1261 933 1227 1600
"161145" 108 2566 2678 2065 5158 929
"79583" 1839 874 1040 1376 676 1375
"642987" 72 25 133 363 91 215
"387890" 11 51 31 22 29 42
"84866" 1495 4082 5313 4048 10634 3560
"219623" 16 627 3371 3663 1286 1710
"57393" 214 129 95 121 48 46
"23670" 1664 14333 10986 2729 3658 12170
"55754" 12546 30774 18511 10467 16577 32581
"161291" 6034 8568 11009 5188 5747 11578
"203562" 12 5 13 31 5 6
"55161" 5739 10113 10435 5734 6989 11766
"59353" 79 70 116 66 125 150
"140738" 141 1159 732 415 251 589
"79041" 377 320 466 276 436 165
"55151" 349 402 1681 109 174 298
"55254" 2876 2456 3903 1516 1442 3790
"55116" 1104 736 1592 702 761 1564
"55287" 291 201 82 72 203 69
"90407" 1644 3837 4181 2194 3043 6453
"440026" 2122 4982 5383 2498 2729 4441
"131616" 475 643 1055 509 628 1550
"79188" 10475 10585 15479 6455 7855 20688
"93109" 497 1087 1204 562 675 897
"55076" 6402 9790 9109 5172 5792 11761
"120224" 179 1524 623 350 1936 1803
"83604" 6433 3392 4925 1304 1040 4399
"23585" 8099 12425 21267 12332 10651 12708
"757" 2085 6062 6170 3146 4641 8645
"55092" 210 1299 1434 575 635 1246
"339456" 33 74 213 243 200 18
"79639" 510 525 1546 1129 817 1127
"113452" 1457 2322 7983 2910 2661 6028
"55529" 760 1366 1051 307 245 1113
"90809" 1297 2292 2792 1394 1247 2520
"148534" 1234 421 1643 165 582 917
"55219" 3205 5593 11637 7896 4568 6486
"25789" 301 99 313 92 27 400
"9528" 12922 20036 33732 21204 28792 39547
"10329" 1267 1585 2374 1435 888 1895
"85025" 780 1805 1563 1173 1151 2258
"199964" 55 65 193 54 198 52
"80021" 734 5020 5026 2228 3167 9685
"9725" 8273 5231 9775 5641 5708 11328
"55362" 1611 7870 9718 3875 3089 8965
"57156" 79 2812 2705 1853 808 4800
"169200" 2254 3429 2725 1026 576 3969
"157378" 2270 3082 3145 1291 1188 3479
"91147" 1020 1567 1542 737 1255 1324
"137695" 1334 2258 3414 1301 3050 1532
"51249" 1811 1819 4516 3168 2612 2598
"54968" 904 2270 2787 1369 2477 1942
"137835" 600 118 385 92 94 178
"157753" 49 11 6 4 0 14
"84283" 1121 1939 3952 1111 1616 1239
"283232" 1076 1024 2231 1367 2338 1474
"388730" 97 176 352 134 156 252
"388595" 0 17 35 0 0 1
"144110" 478 3009 1394 924 1349 12402
"255043" 129 112 144 103 134 129
"25963" 14418 16516 19905 6294 15889 16806
"84910" 2460 12865 9525 5184 6336 13405
"92162" 111 130 214 103 56 65
"58986" 1193 3251 5187 4180 9372 9366
"51754" 3031 3144 4552 3119 2476 4132
"641649" 334 345 1055 303 271 528
"162461" 2 57 47 30 20 178
"27346" 2826 3530 5892 4200 2428 2466
"26022" 6592 2999 11026 2221 1716 8988
"147184" 906 1267 3197 2405 2037 3511
"56674" 3403 8872 9916 5022 8085 14254
"252839" 7013 7324 35184 9269 8902 18443
"7110" 5102 8742 9563 3361 4588 6485
"259236" 2 25 20 13 25 12
"126259" 59 88 132 60 61 85
"55217" 1408 1547 2047 797 1181 2977
"7111" 406 759 890 433 599 837
"29767" 1149 1858 1538 490 549 2196
"29766" 3720 9402 12120 3492 4894 12593
"29765" 15 23 30 11 13 15
"7112" 5324 7733 9894 8439 3576 4974
"643853" 221 152 316 59 166 296
"401136" 11 15 11 6 9 5
"132724" 36 46 111 32 45 49
"9407" 1 1 0 11 10 2
"283471" 83 38 56 31 32 51
"84000" 1551 594 1301 945 577 470
"7113" 5165 914 3496 1289 711 371
"64699" 4201 775 8645 1957 9261 262
"56649" 1 86 628 27 3 47
"80975" 173 25 33 25 22 9
"164656" 2 383 1016 85 110 243
"344805" 1 8 10 8 2 7
"360200" 14 27 59 9 21 31
"9168" 29468 63252 148705 75031 41327 89430
"11013" 312 38 337 27 42 36
"286527" 399 146 210 86 147 259
"83857" 4034 9377 3485 2128 775 3085
"160335" 844 1619 3408 590 602 1745
"160418" 3591 6325 8289 1905 3831 7802
"84899" 1447 2360 2844 3058 2498 3650
"83590" 898 1538 3329 2062 1575 3307
"79089" 3126 3102 4694 1981 3391 5220
"81542" 3549 5687 6455 2523 2748 6680
"51075" 4644 6246 9297 4797 10349 10166
"54495" 3193 5021 6761 2746 3225 6755
"56255" 4785 6073 6326 2465 1446 6288
"3371" 5431 30199 34487 15572 10460 35115
"7126" 4974 8840 11183 5151 5023 10782
"7127" 1417 3983 6309 1084 2841 5418
"7128" 822 6406 2459 2849 1665 2282
"7130" 105 1976 1567 385 924 3188
"126282" 354 918 2705 631 1517 1134
"79626" 84 290 290 211 225 488
"388121" 285 585 866 218 503 719
"25816" 1198 1514 1695 1172 1380 2737
"8797" 360 1138 1132 373 266 973
"8795" 3412 4921 4092 1994 1968 3666
"8794" 143 366 445 88 350 191
"8793" 887 201 340 93 146 833
"8792" 398 197 294 90 150 522
"4982" 29 772 426 275 755 3690
"51330" 2820 1850 4426 1774 7938 5692
"23495" 8 19 98 78 140 39
"115650" 26 4 23 9 112 0
"8764" 1181 2093 2930 2470 2339 1716
"608" 5 69 132 256 45 70
"8784" 6 114 1154 559 179 86
"55504" 808 1909 2709 2241 2930 13145
"7132" 6819 11879 16206 7120 6886 21685
"7133" 512 3002 3436 2388 1801 2928
"27242" 3930 3526 4005 1120 1081 3284
"8718" 127 107 185 166 191 91
"7293" 16 159 240 134 99 189
"8771" 41 154 107 85 128 96
"943" 8 57 110 36 32 87
"3604" 7 68 78 46 70 274
"8743" 5378 58815 14370 12243 2723 26907
"8600" 0 83 222 256 117 2439
"8742" 778 2074 2954 1322 1634 3606
"10673" 78 487 218 177 300 254
"8741" 728 1602 3502 1950 6365 3626
"8740" 83 104 147 67 81 96
"9966" 108 78 214 97 97 106
"8995" 0 66 3 6 2 0
"7292" 39 1487 622 301 525 1401
"944" 42 163 155 374 377 336
"8744" 25 33 38 15 27 212
"7124" 10 86 134 54 44 85
"23043" 649 1052 1899 2505 3096 11824
"10318" 6388 10285 13344 7190 7276 9147
"79155" 1012 2041 3236 1829 2097 3121
"79931" 42 45 62 57 49 49
"8711" 1675 1488 1791 967 3333 1284
"10188" 2596 3963 8233 4244 4943 8780
"85456" 19374 14938 34364 18436 21847 43951
"80351" 7618 11817 10801 5418 6051 11922
"8658" 7482 7450 12508 3216 2992 9092
"64102" 823 58 48 12 2 6
"7134" 15 36 85 26 114 3
"7125" 17 15 17 16 20 15
"7135" 304 142 155 241 107 414
"7136" 164 34 45 37 15 28
"51086" 123 148 355 94 167 225
"7137" 0 43 11 39 236 11
"7138" 3 3493 10799 88 1190 205
"7139" 91 82 143 46 43 88
"7140" 81 23 74 72 30 47
"63923" 62 3026 3348 2946 1376 3291
"3842" 9915 17454 17597 6701 8492 19759
"30000" 8560 5120 14927 6167 6398 9458
"23534" 3539 6018 7859 3720 3923 7754
"84629" 11437 26919 27204 12403 15121 21345
"27327" 4547 6039 7645 3153 5922 5709
"23112" 5479 2997 6884 2088 2852 6059
"57690" 1719 4348 7533 2653 3498 5321
"7143" 3 31 9 4 27 2
"7145" 7148 23548 33002 11092 10464 32747
"64759" 17289 11723 13153 5769 13170 32493
"84951" 12784 3021 12549 4032 508 4830
"7148" 1066 3439 4211 1872 1537 1552
"10140" 6885 15610 12582 12272 13623 13230
"10766" 4889 8399 14269 8165 4851 9211
"114034" 751 646 1926 1019 847 933
"54472" 2658 6644 7818 2954 5525 7245
"10040" 3240 5075 8457 3369 2695 9675
"146691" 3557 6088 8095 4457 8534 8753
"10043" 3108 2901 5204 3913 3125 7420
"387990" 44 35 35 35 14 49
"9804" 33637 34656 62088 22392 16481 34191
"56993" 3951 3471 9183 5370 4214 7091
"10953" 3135 4319 4526 3416 4494 3210
"84134" 774 2572 2700 1278 1212 2153
"10452" 2732 4023 8243 4854 4045 4553
"401505" 1639 3467 4282 2195 1912 3746
"100188893" 2709 6737 8883 4791 5503 6049
"9868" 7558 12755 15226 6779 7263 12616
"54543" 8484 8450 16157 10382 7268 9671
"116447" 2601 1534 3984 2823 1805 1800
"7151" 166 332 322 189 206 242
"7152" 17 42 33 29 20 19
"7150" 10095 18003 19023 10988 11879 15623
"7153" 3688 9549 19610 3277 4202 8267
"7155" 23177 26066 32742 9577 16943 26287
"7156" 1960 1620 2223 1187 1694 2118
"8940" 1110 619 1756 758 692 1209
"11073" 3923 4604 8207 2832 2623 6701
"10210" 3272 3526 4617 1939 1740 3704
"26092" 4407 7944 15494 5640 5016 12735
"163590" 1488 2384 5794 1186 2007 5285
"1861" 2723 5758 6519 3076 3125 6432
"27348" 1491 4607 4244 1907 2154 4638
"27433" 352 1288 1878 1306 885 1475
"64222" 2190 4575 14338 4481 3958 9184
"84969" 26 268 115 251 96 91
"27324" 187 436 3339 2078 862 2731
"9878" 5822 9118 14893 5657 5239 11465
"9760" 460 220 331 480 173 451
"63970" 101 136 149 73 32 92
"7158" 6361 7763 14368 2963 5304 8465
"7159" 4344 3892 9798 3471 3117 5241
"9537" 9945 20764 27999 12951 16877 17151
"90313" 1361 1711 3246 1541 1119 3263
"9540" 1287 895 1321 698 783 3578
"94241" 3260 10075 14126 6518 9421 16085
"58476" 2203 5987 4995 3815 1988 12138
"112858" 1925 3968 3331 2416 1602 2901
"11257" 651 1684 3290 1736 1683 3143
"729355" 521 52 261 86 11 223
"27296" 23 3 41 16 19 16
"7157" 13624 5421 9352 5155 5547 7356
"8626" 7711 6067 9171 2868 475 3818
"7161" 665 167 900 273 525 102
"7162" 1330 13376 8631 4222 10743 10500
"53373" 2652 4310 5352 3227 2559 6832
"219931" 1052 1902 3918 763 793 1504
"7164" 3640 1087 10077 8840 663 2301
"7165" 5436 9379 11482 6916 9084 11350
"7163" 4850 44765 36810 20693 22605 44256
"7166" 39 17 12 17 0 19
"286016" 46 61 91 49 73 113
"728402" 12 29 57 33 25 30
"7167" 14689 28019 49080 25902 21408 32521
"27010" 147 344 273 193 239 436
"7168" 21254 28627 38736 16679 20031 70917
"7169" 16403 12989 14250 5017 4596 25996
"7170" 9659 65819 80859 39214 29473 36792
"7171" 50478 59902 112832 59533 96335 163054
"7172" 1532 3345 4458 3017 2115 4668
"7173" 8 269 104 75 47 55
"1200" 5614 18245 23156 11026 15742 32187
"7174" 4712 3691 6708 3393 3890 5830
"122664" 16 2 6 6 0 2
"51673" 90 548 2265 1284 1567 754
"11076" 89 513 624 667 1081 449
"131601" 1618 2558 3683 2008 2227 4584
"127262" 4446 4305 9420 4042 6432 6527
"285386" 615 6100 7347 572 189 850
"51002" 1259 1766 2118 1442 1244 1385
"286262" 973 3580 4553 2639 5023 4060
"348825" 67 21 31 22 15 38
"7175" 13817 18257 40130 11560 10243 26189
"7177" 121 1155 5771 2721 4974 10031
"64499" 126 1744 6034 1418 6343 12833
"23430" 0 109 46 13 670 1518
"25823" 0 31 51 837 55 30
"8460" 883 1348 1786 716 1227 2684
"8459" 233 2394 4143 980 4320 2872
"7178" 260554 122840 366677 268342 156494 342546
"646405" 549 214 594 169 143 497
"220115" 14 18 30 113 94 39
"93492" 19 10 13 13 8 20
"7179" 38 24 39 18 4 47
"22974" 1432 5135 8239 3344 2891 2943
"29896" 4765 6414 7820 5371 4685 4199
"6434" 9404 9780 15565 6784 7729 11725
"80305" 1582 1731 4653 1857 1734 2927
"8717" 457 935 1324 1002 815 1284
"7185" 265 1208 1087 931 535 761
"7186" 857 2476 3352 1672 2091 1987
"26146" 1829 4090 5277 3165 3469 2717
"10758" 4733 2327 3897 2346 1036 3261
"80342" 701 553 631 536 484 506
"7187" 874 985 1556 801 755 1314
"9618" 6668 6255 8319 5504 4739 4401
"7188" 1676 5091 3106 3756 2119 2301
"7189" 872 1037 1457 477 590 1399
"84231" 6617 5869 16738 9469 16113 13611
"10906" 3202 6130 4882 2413 4524 5992
"10293" 385 359 847 259 307 212
"22906" 9822 9824 14046 3144 4171 8862
"66008" 2672 7094 9474 3841 5214 11566
"133022" 919 856 944 234 531 1011
"23471" 17342 23398 29595 12139 30956 35334
"9697" 3497 7290 8076 3185 4413 17417
"9881" 879 4453 3119 1314 2258 5068
"10131" 7404 5238 14156 6112 10606 7479
"7109" 3711 6221 7294 2583 4675 6803
"58485" 2917 3360 5846 3504 4243 5632
"51693" 1101 1373 2376 1260 1115 1686
"6399" 1350 1716 2318 1415 1238 2049
"27095" 3915 3281 7386 4689 4977 6226
"51399" 1752 2535 3385 3270 3117 2235
"126003" 910 946 2903 2231 1972 2105
"79090" 1151 1599 4913 2605 2577 2613
"122553" 2368 3496 3102 1603 2034 3821
"83696" 2049 6156 8739 3261 5040 9876
"50852" 6 86 50 168 71 18
"1787" 918 438 501 369 192 525
"10345" 1 12 29 14 2 1
"11181" 1 10 8 4 56 12
"54210" 4 78 77 2 155 197
"54209" 230 1215 904 644 1155 3289
"340205" 2 25 7 8 21 25
"79865" 13 32 39 32 52 35
"285852" 0 1 2 0 2 0
"55809" 470 1642 3970 1948 1212 2969
"11277" 599 2010 2329 855 1389 824
"11219" 25 4 23 8 14 40
"29953" 1 48 18 52 2 20
"7200" 0 362 27 6 52 18
"51499" 1698 2157 1841 963 2034 2876
"10221" 6783 27845 11035 9912 3634 8570
"28951" 4231 3474 6026 1468 3478 9236
"57761" 1621 5522 4076 2507 5329 5226
"9865" 1434 1969 5461 3591 2070 6101
"81559" 1095 2384 5365 3311 2420 3074
"10206" 3581 2975 4387 3221 3167 5376
"9830" 1691 7916 6668 2572 3354 5049
"147166" 959 679 1147 866 606 1926
"10626" 1717 1332 1583 1716 1010 3409
"51127" 67 243 592 620 183 336
"6737" 1040 2648 2380 1296 846 2063
"10346" 4798 7888 4541 3073 2751 7733
"373" 1390 2156 2270 808 933 2045
"8805" 3515 5659 7649 3839 3892 5520
"7706" 3292 3678 7728 2282 2489 4685
"7726" 7046 6156 9809 5232 5580 9367
"5987" 5737 5271 9306 5053 4905 7510
"10155" 20839 19444 43289 23728 19490 24375
"23650" 26918 6705 12265 4131 828 5839
"23321" 17743 3176 5510 855 638 4313
"11074" 5 8 3 9 3 7
"22954" 2392 2358 4273 1639 1959 3721
"51592" 5910 5068 9539 2318 5678 6051
"53840" 475 1236 1263 750 644 1353
"23087" 1859 1623 2771 762 886 2565
"55521" 65 789 373 167 659 1039
"4591" 2981 4029 5506 2429 3124 6027
"10475" 1467 3394 2701 529 1249 2566
"56658" 1293 2197 2897 1418 1737 2483
"10612" 550 2503 3326 1989 2314 3726
"90933" 1844 1706 4170 1744 2773 2935
"129868" 46 0 0 2 0 0
"54765" 6202 7758 10196 3166 6713 11201
"80263" 1248 1181 4874 2682 1278 1423
"80128" 109 295 440 275 124 173
"91107" 1339 2241 3125 977 1991 2197
"89122" 3860 4740 7846 3630 5753 7514
"135892" 8 2 6 2 0 5
"84851" 832 947 1042 390 602 874
"57159" 6 8 13 8 13 2
"84675" 0 2 15 5 17 6
"81844" 1219 1449 2881 757 972 2166
"25893" 381 997 3846 653 178 2078
"286827" 587 1035 1592 485 490 6660
"85363" 3399 2703 3135 1367 862 3156
"166655" 13 12 20 6 16 9
"391712" 18 22 33 10 8 30
"55223" 438 1265 1833 1091 1339 2541
"84676" 4 33 44 74 65 10
"201292" 1628 1593 2856 1345 1522 2515
"9866" 1102 1432 2332 753 1648 1213
"440730" 12 6 17 0 8 21
"55128" 1402 1151 1626 326 248 1906
"140691" 127 280 308 134 173 460
"117854" 266 841 2324 1131 181 3708
"493829" 11 14 24 9 31 22
"378108" 186 85 99 98 140 41
"117852" 73 32 43 21 19 33
"81786" 95 139 168 75 339 137
"81603" 4363 12404 18897 9345 8781 15223
"114088" 367 1082 715 93 182 221
"205860" 0 0 5 0 12 0
"11078" 5364 4186 12544 5524 5135 10004
"7204" 9011 8385 14997 4476 5403 15983
"9322" 1475 2068 3944 2601 1983 3758
"9321" 5560 7641 9592 2774 4830 8290
"9320" 14275 19945 28182 8663 15861 17869
"9319" 652 725 1854 725 556 675
"9325" 1705 2657 4349 1555 2671 3647
"7205" 6608 2899 7113 3302 4782 9986
"54802" 1511 833 2414 2097 954 1850
"51504" 4120 5496 8585 6905 8180 9542
"60487" 616 887 818 611 372 619
"55039" 1066 2164 2650 1166 3290 2864
"55621" 1821 1024 2775 2110 1428 1570
"27037" 1701 1019 2718 1498 1585 1857
"79979" 1314 1935 2444 1529 1615 2339
"57570" 2964 2348 3792 2138 1148 2559
"115708" 1075 846 2039 1494 1276 1597
"55006" 765 1377 1493 896 909 1338
"51605" 1481 2014 2415 1558 1482 1450
"55687" 636 415 1040 740 602 1180
"54952" 685 1002 1782 658 1060 1154
"388610" 574 1028 1007 551 743 716
"51095" 1053 1804 1816 802 1226 1990
"10024" 293 617 1081 424 267 253
"6738" 4687 5871 12002 5066 3031 10642
"7216" 2382 777 1088 318 577 2203
"8989" 4 257 241 22 47 139
"7220" 390 742 476 225 228 1166
"7221" 0 8 2 6 5 14
"7222" 12 40 56 10 2 139
"26133" 7518 11998 13209 6309 6287 12140
"7223" 65 66 85 25 35 97
"7225" 158 446 869 149 163 432
"4308" 13 14 16 8 13 15
"7226" 389 980 466 589 893 1209
"80036" 119 105 204 105 87 111
"54795" 2089 4500 11073 5754 6200 8497
"29850" 0 3 5 2 4 4
"140803" 555 279 337 166 203 224
"54822" 4233 5534 6985 1966 3289 7837
"79054" 39 51 89 38 45 78
"7227" 16165 42379 53622 23465 70680 31178
"83707" 836 1016 1285 1587 2083 1356
"7442" 873 830 962 664 1101 702
"51393" 74 767 669 448 598 879
"162514" 51 54 73 42 34 62
"59341" 1915 384 467 88 647 666
"56302" 0 5 1 8 9 1
"55503" 1046 871 689 98 230 211
"8295" 10299 9375 15089 7102 7156 14834
"142940" 2454 3763 5637 2291 1724 3602
"26995" 1883 3347 5098 2673 3089 1929
"7248" 3295 4067 4953 1679 2337 4157
"8848" 15435 16386 25674 18044 14712 26473
"9819" 2672 3130 3956 1750 1373 5134
"1831" 5006 13708 20619 26353 20125 16738
"81628" 2813 3527 5486 3843 3390 4540
"7249" 9944 5016 10508 5391 10730 7345
"116461" 2045 2461 5359 2052 1751 4866
"80746" 675 812 1196 731 610 781
"79042" 2243 3497 7769 4221 4701 4842
"283989" 1215 1987 2986 1942 2118 2585
"10102" 1552 2444 3768 2621 2867 2737
"7251" 3210 7814 10289 4850 5263 7082
"643432" 272 418 373 211 276 299
"254187" 2 8 4 0 2 6
"80705" 357 256 505 381 560 292
"114960" 63 77 109 72 64 72
"7253" 2 46 32 29 4 64
"10194" 2143 2804 6553 2233 3775 5997
"128553" 350 1152 1897 695 434 1129
"57616" 1785 1847 2870 661 1098 5991
"9383" 12844 5833 8583 5102 2351 8103
"60385" 4 7 16 10 10 28
"25987" 2046 4287 4344 2693 1911 10286
"85480" 170 100 164 65 11 47
"203062" 805 696 1220 709 1403 1167
"55815" 168 71 232 119 85 61
"7257" 2162 5135 7601 3165 2626 5419
"7247" 7295 9144 14956 6987 9396 13824
"83882" 249 255 338 255 371 438
"441631" 217 487 838 791 498 503
"23554" 2014 2729 906 281 203 1121
"27075" 3085 46911 36885 22696 18488 33593
"81619" 7345 13906 16033 10452 9346 12938
"23555" 1040 15626 12747 10586 8961 18722
"26262" 1185 2979 5998 2215 2898 6549
"90139" 404 2413 2935 806 1152 6658
"10103" 182 3201 2312 16346 2527 12066
"10100" 835 1821 1168 537 609 1017
"6302" 2665 6113 5464 2710 6389 6926
"10077" 14 40 56 32 33 41
"340348" 737 1278 1889 1066 585 1517
"10099" 8458 18807 13664 11508 8189 17466
"7106" 1470 1660 3338 1688 5185 6278
"10098" 467 3977 2680 493 997 1775
"7105" 5453 3380 9514 11030 3665 6977
"7102" 255 2159 2749 1757 794 1334
"7103" 353 135 53 14 12 6
"10867" 4387 7521 13695 6986 9405 14480
"706" 3252 2504 12711 6144 4502 8992
"7259" 8728 20099 13612 7147 6513 20004
"64061" 2867 2366 3259 1973 854 3043
"23270" 5133 6981 4287 2016 2260 7263
"85453" 7975 1611 3514 787 2931 10791
"55720" 4899 4107 6733 2842 4423 5274
"90121" 2008 4789 7898 3156 3903 5586
"7260" 974 1912 3202 1537 2124 2049
"10078" 1309 1702 3463 1917 2155 2650
