"TCGA-A1-A0SB" "TCGA-A1-A0SD" "TCGA-A1-A0SE" "TCGA-A1-A0SF" "TCGA-A1-A0SG" "TCGA-A1-A0SH"
"247" 186 1555 866 1978 657 2257
"246" 44 46 108 30 920 35
"241" 314 1009 1211 660 1532 2904
"240" 293 1284 1067 506 1153 2553
"59344" 32 55 44 4 45 37
"80216" 2682 2330 3893 1208 2219 3611
"115701" 5 396 175 101 93 1394
"57538" 284 883 617 397 1497 1029
"249" 1557 836 2024 385 751 496
"250" 43 40 45 20 39 43
"259173" 220 706 742 219 976 707
"151254" 86 42 40 26 5 36
"130540" 25 63 20 17 16 20
"57679" 3157 3737 4465 2030 2250 3731
"8092" 0 6 0 1 4 2
"257" 478 65 215 78 101 171
"60529" 66 31 92 17 8 118
"23600" 517 1617 4693 1432 1772 5619
"259" 13 83 428 339 43 28
"55626" 3548 4750 7752 3620 3775 7094
"262" 9584 4785 5590 3256 2528 6475
"144193" 2 114 87 26 65 52
"51005" 546 1212 2250 1330 3766 1898
"267" 7014 12990 25614 10708 15720 16116
"269" 0 2 17 4 7 11
"268" 101 14 98 30 4 31
"120425" 118 400 661 789 320 490
"57463" 477 426 636 181 600 673
"347902" 542 8913 5209 2408 942 14751
"386724" 327 212 590 205 349 333
"83607" 3761 5128 5431 2792 2386 5138
"9949" 1033 1238 3075 2015 3528 1667
"196394" 663 1030 2074 1110 909 978
"81693" 16 1 22 6 1 4
"154810" 15555 5483 9383 2741 3122 12265
"51421" 15102 8647 8859 4151 10925 13937
"154796" 6079 2260 5468 1108 2476 14092
"270" 4 28 135 96 4 41
"271" 2182 1844 4983 1366 1183 4630
"272" 608 731 823 596 653 1363
"273" 51 381 2127 2227 428 2007
"401138" 3 117 2 0 0 25
"275" 367 182 304 116 159 201
"276" 121 48 43 18 38 25
"279" 44 57 23 9 14 18
"280" 584 470 372 178 253 262
"155185" 33 109 861 196 790 34
"201283" 626 1223 888 596 1244 1027
"51321" 2933 5661 9791 5041 6144 11366
"10393" 570 816 1040 518 425 743
"51529" 1491 3151 6562 3758 3649 7569
"25847" 3149 4047 6873 4171 6222 7665
"119504" 6472 6800 12322 9442 9259 11218
"64682" 3946 3951 6471 2057 3024 4921
"29882" 2468 2558 4194 2438 2837 4376
"29945" 1920 2197 2551 1231 1278 2271
"51433" 8112 9228 8458 5378 7945 11904
"51434" 3226 4704 4379 2793 4261 5492
"23357" 1817 3873 3727 1689 990 4004
"90806" 2376 3767 6552 2807 2069 4603
"284" 242 511 391 177 135 535
"285" 336 1937 1345 444 539 1877
"51378" 0 13 24 52 2 14
"9068" 99 276 387 303 136 235
"23452" 7813 5181 12194 2535 3261 25258
"27329" 0 3 2 3 0 1
"51129" 147 1095 488 205 628 129
"253935" 51 16 2 2 0 4
"83854" 59 122 163 135 120 169
"10218" 842 25 50 34 16 5
"283" 342 782 2759 561 212 1013
"286" 12 113 62 53 73 67
"287" 147 1597 1606 978 1347 1980
"288" 7137 10178 10569 12183 3107 5242
"150709" 166 235 189 110 108 139
"348094" 386 478 470 232 341 330
"162282" 2 49 19 129 4 76
"51479" 6901 6740 9126 3681 8059 13026
"54882" 8704 10729 16864 5509 7495 7094
"56172" 10377 10344 8471 3436 6540 20193
"54467" 4859 10138 9134 5371 6086 12063
"255239" 185 48 90 74 22 53
"126549" 230 156 245 104 149 159
"23141" 5274 7665 6101 2591 4964 12757
"51281" 622 1122 2345 1686 912 713
"57037" 1616 1467 3803 1527 1462 2439
"57763" 1119 1730 1694 944 1033 1397
"55608" 3783 5371 5537 4253 5011 6543
"29123" 24893 6618 11486 4617 4549 9804
"23253" 9341 6025 8696 2578 3884 6448
"88455" 5646 4838 4871 2314 5315 7998
"124930" 947 424 1372 537 574 991
"81573" 1787 2016 3581 2127 1788 4216
"338692" 1126 2729 3076 1071 1532 1870
"54522" 900 968 2303 1489 884 1047
"26057" 16784 15067 21525 6788 9842 21876
"27063" 2093 168 14 6 20 16
"441425" 239 136 122 34 85 73
"728747" 70 32 30 21 34 25
"118932" 324 575 690 1603 121 516
"200539" 204 128 130 89 148 118
"170961" 81 95 201 188 179 91
"22852" 1096 1261 3509 1530 805 1222
"84079" 2574 3722 4525 1775 3582 4165
"23243" 5482 6786 10957 3857 4850 9841
"147463" 252 390 1079 237 203 202
"26287" 5 5 23 11 26 58
"91074" 12 2449 15383 4931 4827 2558
"374860" 28 336 1709 762 176 88
"256006" 34 39 30 10 3 24
"84250" 586 983 1286 485 547 854
"284615" 78 53 221 149 85 118
"340120" 15 33 19 12 7 0
"390616" 6 2 2 0 2 6
"148741" 474 240 674 309 140 485
"84832" 1412 414 1122 227 260 862
"57730" 721 600 608 361 514 584
"375248" 1072 824 720 529 497 695
"353322" 248 422 284 238 398 342
"51239" 288 666 779 345 513 477
"91369" 5023 7909 8199 3214 3714 8658
"338699" 748 1228 1489 1698 3262 1593
"91526" 432 350 398 238 481 573
"339416" 122 141 164 80 93 115
"157567" 1328 2392 2404 1634 2971 2602
"54851" 801 1013 914 801 736 1246
"57182" 8049 7538 22431 3157 4256 9827
"283373" 5719 6528 10163 2754 4619 9938
"79998" 91 86 54 51 40 134
"129138" 1134 1045 2572 1605 1703 1628
"79722" 2 19 27 53 36 3
"22881" 1628 2287 1388 562 904 2414
"56311" 19 6 32 4 0 11
"122416" 190 219 370 154 295 381
"23294" 4676 4253 6869 3064 3952 5530
"56899" 708 769 1192 547 460 668
"124401" 952 722 1680 896 1276 1538
"257629" 79 104 110 64 76 84
"203286" 1227 506 642 269 342 1600
"55139" 1786 2217 3363 1681 1908 1842
"54443" 1660 2041 4132 1152 1425 1498
"55129" 2424 4319 6774 2043 4030 7633
"55107" 9624 24931 64367 18017 7702 17016
"57101" 96 127 182 57 211 275
"63982" 22 630 89 219 2 28
"121601" 12 27 56 40 3 23
"203859" 64 479 76 10 30 43
"196527" 7516 8686 16333 5467 7821 21138
"50636" 59 115 80 17 47 45
"57719" 1731 1156 1606 763 826 1079
"338440" 124 1194 1237 452 704 784
"8125" 7868 14068 25345 8319 7640 13905
"10541" 13453 13232 21692 8882 8230 16985
"81611" 4745 8497 13458 3400 1567 5431
"290" 6263 22888 6366 32247 894 6019
"84168" 12302 32688 36105 9474 26044 129555
"118429" 1934 3446 4330 2184 2942 8178
"195977" 17 0 17 2 13 0
"11199" 0 7 3 0 2 8
"311" 8042 21688 19645 11624 11438 28827
"312" 53 32 70 46 20 59
"301" 17885 11737 14171 6612 5382 23663
"303" 62 68 92 36 64 124
"304" 1944 3931 6103 1792 2562 7802
"302" 37691 80287 116978 35567 54709 151642
"306" 4003 3196 3605 1171 241 7367
"307" 3303 7702 11189 5881 6494 11479
"308" 20840 25748 56927 19427 15264 61206
"309" 8355 35490 40996 18081 44985 38359
"310" 6999 21382 20554 11910 13801 22001
"728113" 112 52 39 10 11 26
"653145" 4877 2580 1466 524 586 942
"8416" 280 3895 13261 4545 4743 2270
"313" 128 472 538 639 398 781
"314" 57 68 82 24 43 21
"8639" 516 5533 4030 2503 2093 2483
"316" 880 6851 530 336 200 989
"344454" 0 6 17 22 1 12
"55435" 2245 4494 5695 2291 3998 4281
"162" 6946 6670 16542 6628 9166 19290
"164" 8433 11424 14095 5220 8515 14782
